Topic,Terms
1,some pubic hair poorly developed secondary sexual characteristics coffee smell low levels of GnRHsatisfaction visual acuity testosterone GnRH fairly sexuality expressiveness heavily symphysis systems less primary drink primarily smells odor unique sex regrowth impairments schools skin imagery characteristic traits wine blond level higher
2,vaginal spotting several complicated UTIs. an abnormal rise a thin endometrium gestational sac in the uterusvaginal appendectomy contraceptives endometrium uterus contraceptive induced cervix soft ways splenectomy thick detecting ovaries hypercholesterolemia vostok abnormalities anal spotter rising contraception difficult sacs decline
3,fatigue some sexual problems lack of libido increased pigmentation homozygosity the C282Y mutation hemochromatosisfatigue libido smoke illicit drug Blood pressure Oxygen saturation BMI pigmentation Genotype mutation transferrin ferritin hemochromatosis difficulties reduced spite attenuation visibility sexuality ease burning headaches virility sex problem cocaine increase smuggling coloration pains move discoloration dust immaturity trafficking drugs reasons
4,joint pain in the hands periodic morning stiffness The pain moderately severe hypertension hypercholesteremia firm nodules over the distal interphalangeal joints pain in her knees stiff some sensation of bone friction during activity narrowing of the joint space subchondral bone sclerosis osteophyte formation along the jointsjoint pain Tylenol hypertension hypercholesteremia friction X-ray sclerosis osteophyte diabetes muscles stress continual cooperation quicklime narrowed temporomandibular caused shoulders hip soft consulting tissue comparatively activities pressures jointly slightly company posterior widening evening proximal suffering amyotrophic cysts tension out face torsional rigidity sacroiliac continuous pulmonary increasing ankles afternoon bones shuttle structure hand forming sensations ribs earth crohn
5,syncope dizzy head injury light-headedness other medical conditions a harsh systolic murmur peripheral edema asymmetric interventricular septal hypertrophysyncope head injury light-headedness tobacco illicit drugs systolic murmur lungs edema Echocardiography hypertrophy air harsher health medications chief heads nauseous kidneys driers atrial murmurs medicine lights groin autonomic oedema cornering ischemia due quivering neuropathy hoppers schwa hamstring drug cigarette vasovagal diastolic smuggling repressive breathing lightheaded trafficking affect
6,nonproductive cough progressive dyspnea The patient's medical conditions hypertension hypercholesteremia peptic ulcer disease decreased breath sounds percussive dullness at the base tenderness a left-sided pleural effusion nodular thickening of the pleura bloody proliferation of epithelioid-type cells very long microvillicough dyspnea hypertension hypercholesteremia peptic ulcer smokes lung Abdomen CT pleural effusion pleura thoracentesis Biopsy proliferation microvilli coughing diabetes sweetness ruling health sound wackiness pleural smoked patients syncopated back decrease types ulcer parasitical medicine loud bases ground playfulness reticulate colds increased histiocytes kidney due pericardial rhythms stapling commonly liberal pulmonary pomc leaving cigars short treatment cell peptic once effusion respiratory infection diffuse tissues blankness party breathing fiercely implodes smell affect diseases
7,her short stature short limbs a flat nasal bridge a small midface similar physical features an autosomal dominant point mutation in the fibroblast growth factor receptor 3 (FGFR3) gene achondroplasiagenetic testing point mutation fibroblast growth factor receptor 3 achondroplasia immigration pelvic ambition includes mutations nmda inspection factors thin pelvis close slightly making long recessive smaller receptors example psychological genes large tests mental increase dominance hepatocyte bridges keratinocyte just feature likelihood consonants road legs predominant decline instance
8,irritability inability to defecate constipation discomfort with bowel movements His symptoms distension tenderness a narrow rectum and rectosigmoid area dilated burst of feces out of the anus absence of submucosal ganglia in the last segmentconstipation palpation Xray barium rectum colon feces anus biopsy ganglia nephridia sweetness sleeplessness distention diarrhea blowing restlessness hydroxide overcome excrement faeces cardiomyopathy near biopsies thermolysis prostate areas movement bloating bladder bursts lesion due anus nausea despite intestinal edge auscultation illness abhinaya pains bathe irritation ganglion respiratory reluctance broad sulfate groups playfulness
9,choking dysphagia cough Her other medical problems hypertension dyslipidemia osteoarthritis smells bad an abnormality in the upper esophagus an outpouchingchoking dysphagia cough hypertension osteoarthritis smoke Blood pressure barium throat difficulties stomach health deformity hyperlipidemia hydroxide choked pungent lower portion medicine ease unfortunately burning suffocating worse problem sulfate arthritis abnormalities move rheumatoid chest dust actinolite smell
10,"a left wrist mass swelling cosmetic concerns a nontender, rounded mass on the dorsal wristwrist wrist wrist smoke illicit drugs of medications treatments back bleeding ventral concern slender burning demonstration surgical worries swollen drug leaving smuggling ankle shoulder dust angled trafficking spines"
11,recent unintentional weight loss epigastric discomfort known medical problems febrile a lesion in the stomach diffuse-type adenocarcinoma signet ring cellsweight loss blood pressure pulse rate endoscopy adenocarcinoma reduced difficulties health squamous called gluteal bleeding lesions types latest intentional rates genitourinary carcinoma claustrophobia medicine ease latent laparoscopy throat problem despite thickening berkley commonly losses tumor move inadvertent weights losing mesenteric hanging heart as causes higher rings
12,chronic cough occasional but progressive dyspnea Other medical conditions hypertension osteoarthritis decreased breath sounds percussive dullness at the base a mild bilateral pleural effusion diffuse thickening of the pleura asbestosis pulmonary fibrosis asbestos bodies golden-brown beaded rods translucent centerscough dyspnea hypertension osteoarthritis smokes illicit drugs lungs CT pleural effusion pleura asbestosis lungs pulmonary fibrosis asbestos diabetes sequined pleural health sound wackiness smoked medications syncopated usual cooperation photophobia decrease cystic corpses silver cylinders white unusually medicine latent milder loud ground graphite increased opaque due pericardial tremolite rhythms thickening chrysotile drug gray liberal pulmonary body cigars relations smuggling effusion diffuse frequent blue blankness party breathing trafficking shortness smell affect bases
13,infertility abnormalities bilateral gynecomastia bilateral descended firm testes abnormally long Klinefelter syndromeinfertility smoke lung sounds gynecomastia lower extremities karyotype Klinefelter syndrome diabetes sound cooperation pelvis consulting unnaturally company cancers burning ovaries loud gonads kidney defects congenital relations short low once respiratory descend dust alarmingly fled disorder abnormality higher
14,"severe left toe pain swelling febrile any recent trauma attacks gouty arthritis gouty attacks the same medical condition gouty arthritis a swollen, tender first metatarsophalangeal joint Aspiration of the joint high leukocyte count numerous needle-shaped crystals gouty arthritistoe toe gouty arthritis Allopurinol metatarsophalangeal joint leukocyte count gouty arthritis several wrist health unclear stress attack back cooperation bleeding caused latest calcite needles lakland bruised jointly shape claustrophobia osteoarthritis medicine conditions suffering various heel swollen counts resembling cooked despite antigen mental crystalline hypodermic leaving low given traumatic rheumatoid swelling dried terrorist level"
15,weakness difficulty of standing up disabled enlarged calf muscles absence of dystrophin protein DMDlower extremity biopsy dystrophin difficulties encodes muscle biopsies sitting groin worries lesion thigh handicapped due newly rhodopsin northernmost despite proteins easternmost partially developmentally stood lack weak flexing
16,arthralgias nodules on her legs fever other skin rashes moderate hepatomegaly The lesions on her legs tender enlarged hilar lymph nodes an elevated ACE level the skin lesion noncaseating granulomas fungi acid-fast bacilliarthralgias legs hepatomegaly legs smoke x-ray lymph nodes Biopsy granulomas fungi lymph toes splenomegaly distention faster lesions visible blisters tumors pneumonia breast tissue slow lymphatic sulfuric burning nodes hydrofluoric lymphadenopathy lesion newly cooked nausea moderates arterial tumor partially strong levels nose dust dried higher
17,slowly worsening vision in both eyes the symptoms loss of the red reflex blurry visionreflex visual field blood pressure exacerbated ease eye unique quickly losses imagery illness team respiratory move losing concept lips sense heart causes center gradually
18,"a rash A similar red, itchy rash on the cheeks, trunk, and arms a few upper respiratory infections major illnesses mucosal lesionsrash rash cheeks upper respiratory infections Vaccinations diet cheeks upper extremities weapons significant pneumonia nasty rails pelvis corneal lower portion example scratchy gums eating spate diets yellow leading disease underneath hand infection blue lips complications epithelial instance ailments"
19,"generalized rash a sharp pain in her arm erythematous, raised plaques over the trunk, extremities bilateral expiratory wheezesrash blood pressure heart rate Lung auscultation recently finger stress pruritic cooperation lgm plaque pelvis rates nasty rails generalised ease pain suffering papules spate regression inspiratory relations underneath drop move atherosclerotic strong hand palpation heart causes raising higher"
20,the bulging in his groin a swelling above the inguinal ligament the bulge mild dyslipidemiagroin ligament cough surgeon laparoscopic hernia repair femoral coughing unusually physician repairs cruciate maintenance hamstring bleeding milder ligaments shrunken cardiologist colds swollen biceps ankle hernias
21,"his neuromuscular disease gradual, progressive weakness of the left upper extremity weakness in the right upper extremity Mild gait ataxia ALSupper extremity upper extremity upper extremities gait ataxia Riluzole ALS put back but pelvis ambling nosocomial lower portion worries continuation northernmost accelerated neurodegenerative liberal leaving loping easternmost infection party weak diseases"
22,mild intellectual disability learning disabilities a small gap fragile X syndrome an X-linked disorder The defect an unstable expansion of trinucleotide repeats (CGG) in the fragile X mental retardation 1 (FMR1) genemild intellectual disability learning disabilities immunizations cytogenetic X chromosome fragile X syndrome trinucleotide repeats mental retardation X chromosome Glucose BUN Blood Urea Nitrogen Creatinine Calcium Sodium Potassium Chloride CO2 pH chromosomes disabilities tuesdays suspected mutations narrowing teaching unusually skills acidic ultrastructural disorders wednesdays trauma smaller milder physical solubility occupational rupture large wider mental congenital defects vaccinations inoculations expanding knowledge disability shaky traumatic isolated dangerously intact consolidation terrorist cultural disorder
23,gritty sensation in her eyes difficulty swallowing dry foods pain heartburn her mouth dryness occasional joint pain the confirmed Sjogren disease other rheumatologic disease conjunctival erythema cracking of the lips elevated ESRsensation swallowing heartburn mouth dryness joint pain rheumatologic erythema lips difficulties painkillers stress usual cooperation wet visible hip wasting crack edgy jointly eye tongue indicated suffering injecting flanger confirm coldness clamping lip arterial ear water cheeks indigestion degassing infection frequent sensations lack lips products beverages diseases
24,oculocutaneous albinism complications iris transillumination apparent foveaeoculocutaneous albinism gestation iris transillumination Optic nerves eyebrows salicylate nervous nerve eyebrow incubation cheeks possibility debilitating illness indication
25,intermittent ear discharge hearing loss on her left ear obesity hyperlipidemia diabetes mellitus a small perforation in the left tympanic membrane a pearly mass behind the membrane Conduction hearing lossdischarge hearing loss obesity hyperlipidemia diabetes mellitus Metformin Atorvastatin BMI Otoscopy tympanic membrane hearing loss throat hypertension diabetes of stomach proceedings maximum appeals back hyperlipidemia extracellular duikers smaller ears perforations dyslipidemia demonstration throat large discharges mortality losses leaving incessant losing cancer membranes bowel chest bathrobes sporadic actinolite
26,progressive fatigue decreased appetite 11-lb weight loss the previously diagnosed Hashimoto disease other medical conditions a generalized increase in pigmentation of the skin primary adrenal insufficiency Addison disease)fatigue appetite weight loss levothyroxine Hashimoto disease tobacco illicit drugs pigmentation cortisol adrenocorticotropic hormone ACTH glucocorticoid primary adrenal insufficiency Addison disease reduced leukemia health medications initially decrease venous salivary generalised tissue breast dt medicine addition avobenzone headaches although prostate increased estrogen due secondary selectivity increases medulla acth ghrelin drug losses regression liberal cigarette coloration pains smuggling discoloration lbs weights appetites losing infection aversion party hormones trafficking affect diseases
27,rash on her left arm The lesion mildly pruritic painful The lesion erythema migrans Lyme diseaserash arm pruritic ibuprofen blood pressure erythema Lyme disease finger back lesions predictably nasty ease gadh debilitating aspirin spate tumor wrenching leaving move hand infection heart causes shockingly diseases
28,nosebleeds heavy menses occasional gum bleeding menorrhagia increased bleeding time slightly increased partial thromboplastin time other medical conditionsnosebleeds dental procedures menorrhagia bleeding time partial thromboplastin time illicit drugs reduced stomach migraines health medications usual requiring when medicine corvee somewhat ground surgical throat procedure surgeons chewing drug menstruation itching parturition guar increase flat smuggling termination light frequent trafficking removal
29,constipation lower back pain trauma The pain low back pain rapid contraction of the anal sphincter Cauda Equina syndromeconstipation lower back pain low back pain legs leg anal sphincter neurologic examination Cauda Equina syndrome MRI toes stress zeta diarrhea examinations coupled disorder saloum less dorsal shrinkage suffering thigh vaginal nausea accelerated mental congenital neurological low neuropsychiatric nose traumatic legs exam decline higher
30,pain in the calf and knee The pain osteoarthritis a small effusion in the right knee The effusion a tender swelling in the popliteal fossa and calf the pain swellingosteoarthritis anti-inflammatory NSAIDs smoke inflammation stress put margaritifer bleeding but elbow groin smaller burning suffering ospedale swollen thigh pericardial cooked large autoimmune counter arthritis ankle rheumatoid dust dried pleural pterygium
31,clumsinesssleep latency rapid eye movement REM sleep movements radical chest instantaneous accelerated breathing sleeping eyes jitter coupled
32,azoospermia recurrent pneumonia shortness of breath persistent cough thick sputum multiple lung infections other medical conditions allergies clubbing bilateral absence of the vas deferensazoospermia contraception pneumonia shortness of breath cough sputum lung illicit drugs allergies vas deferens respiratory function test coughing health medications contraceptives allergic cooperation asthma chronic dizziness types thin condoms pneumonia clubbed medicine chorionic various colds testing kidney recurring vas due sevak covered despite tests drug illness disease relations smuggling coagulated respiratory infection aches functions breathing trafficking smell affect
33,myopia long upper extremities and fingers narrow down-slanted palpebral fissures flattened malar bones a small jaw organomegaly Marfan syndromemyopia malar bones lungs auscultation abdomen Marfan syndrome toes finger splenic schisms teeth kidneys pelvis disorder slanting densely smaller tilted throat rifts juergensen neck large edge skull pockmarked congenital bone flandres breathing palpation thorax broad
34,right elbow pain The pain eczema pain on the lateral side this painelbow eczema hydrocortisone ointment elbow humerus elbow joint physical therapy medial jointly knee stress treatments atopic cooperation mental therapies suffering psychological ankle anterior
35,recently painful menstrual cycles pain uniformly enlarged tender adenomyosismenstrual cycles Urine Menarche BMI uterus hysterectomy adenomyosis cycle newly identically cooked stress has unevenly dried menstruation mastectomy wrenching debilitating synchrony suffering lumpectomy partially phases been
36,dizziness occasional nausea ringing in her right ear difficulty hearing The dizziness hypothyroidism low vit D level sensorineural hearing loss in the left eardizziness nausea hearing hearing dizziness hypothyroidism Levothyroxine tobacco sensorineural hearing loss difficulties put proceedings usual appeals back dizziness but less ears throat vomiting palpitations nausea hyperthyroidism losses cigarette leaving levels losing frequent lack loudspeakers higher
37,weight gain fatigue DM type 2 HTN symmetric proximal muscle weakness of the upper and lower extremities endogenous Cushing Syndromeweight gain fatigue Blood pressure muscle weakness Fasting plasma glucose cortisol dexamethasone cortisol ACTH Cushing Syndrome reduced muscles peptides advantage uptake types gaining pelvis tubule lower portion ease polymer headaches worries secretion metabolism membrane distal fasts commonly isomorphic low pains prednisone move weights colchicine abdominal exogenous weak higher
38,hand tremor his tremor similar problems other medical conditions bilateral tremor in the upper extremities essential tremortremor tremor Neurologic examination tremor upper extremities essential tremor difficulties health put cooperation examinations pelvis lower portion medicine example temblor problem due vital ensuring hands relations aftershock exam instance affect
39,a hip fracture occasional back pain mild compression fracture at the level abnormally low bone density in the lumbar vertebrae osteoporosistobacco illicit drugs Blood pressure back pain sedentary lifestyle BMI X-ray compression fracture X-ray absorptiometry low bone density lumbar vertebrae osteoporosis medications stress lossless usual vertebra tissue unusually width ease unnaturally lifestyles less habits milder suffering drug hop arthritis smuggling move levels bones pop frequent measured puncture alarmingly postmenopausal fractures lossy trafficking higher
40,prolonged oral bleeding the bleeding heavy menstrual cycles other medical problems excessive bleeding during menstrual period mild bruising on his legs an abnormal ristocetin cofactor assaytooth extraction desmopressin DDAVP menstrual cycles legs platelet count ristocetin cofactor difficulties stomach health infighting toes pyridoxal protracted synchrony induced sudden beginning unusually medicine milder ground debilitating throat excess problem counts platelets menstruation cycle extracting abnormalities periods undue phases given light steelmaking nose clotting acupuncture treatment
41,an acute vision disturbance vision disturbance in the right eye right jaw pain fatigue hip muscle aches mild hyperlipidemia multinuclear giant cells internal elastic membrane fragmentationchewing fatigue hyperlipidemia blood pressure Neurological examination Temporal artery biopsy giant cells muscles put examinations chronic arteries problems but exam extracellular unusually biopsies viscous deformation ease disorders thunderstorm posterior milder disturbances headaches dyslipidemia eyes lesion lobe biggest hop pains cell respiratory move neurologic chest pop membranes abdominal concept tissues carotid sense heart causes conglomerate actinolite external
42,short stature overweight body habitus low-set ears a high arched palate a webbed neck cubitus valgusoverweight palate karyotype fingers blood ambition arches sets stubby making long less throat xy cleft palates longish opening ear abhinaya low nose bodies level higher
43,skin rash oral ulcers The rashes mildly itchy other medical conditions pink papules some white ulcerated papules on her buccal mucosa prominent hyperkeratosis a thickened granular layer an infiltration of mononuclear cells in the superficial dermis a sawtooth appearanceskin rash oral ulcers ankles buccal mucosa Biopsy dermis epidermis peridium siskiyou health imperfections purple facial phagocytes ulceration blisters predictably nasty tissue breast knees black medicine thickens influential due scratchy gums dorsiflexion powder infiltrations spate nausea browned shockingly layers phagocytic wrists whose desquamation cell peptic cavity macules affect blue coating tissues epidermis pustules infiltrating hyperpigmentation acupuncture cochlea treatment leuser
44,heartburn acid reflux mild tenderness in upper stomach an air-fluid opacity behind the heart the stomachheartburn antacids tobacco illicit drugs BMI stomach x-ray barium stomach sweetness painkillers medications flatness aircraft bleeding hydroxide unusually lower portion pain sulfuric milder hydrofluoric suffering throat ulcers drug fluids cigarette flying smuggling indigestion gastroesophageal trafficking signification viscous sulfate playfulness
45,flat facies small ears a single palmar crease upward slanting eyes the trisomy of chromosome 21 Down syndromefacies trisomy chromosome 21 Down syndrome fingers slanted chromosomes monosomy mutations granulite thin slightly one smaller eye greenschist downward large double squinting ear congenital upwards lips disorder
46,cough body ache fever chills low grade fever tired sleepy His body ache myalgia positive lymphadenopathy white exudates in the pharynxcough fever chills myalgia Tylenol PCR exudates pharynx coughing blood larynx fevers grades pneumonia black less colds gingivitis scared secondary feel lymphadenitis aches desolate bodies excitotoxicity higher
47,facial redness the redness multiple papules pustules erythema telangiectasias other lesions nodulesdermatology forehead cheeks sun exposure forehead cheeks erythema telangiectasias BMI types tumors piercings itchiness various risk lesion papules effects deformities cheek discoloration macules chest lips pustules
48,bleeding The bleeding Hemophilia type A Hemophilia type A a lipoma on his left armtooth extraction Hemophilia Blood pressure Hemophilia lipoma arm extracting move stomach leaving finger ease hand back frugivore commonly agylla types heart causes throat
49,difficulty swallowing both liquids occasional cough difficulty lifting her arms above her head The weakness prior medical problems an erythematous rash on the upper eyelids some red papules over joints positive perifascicular inflammation atrophy of the fascicle blood vesselsswallowing cough rash eyelids Antinuclear antibodies biopsy inflammation atrophy difficulties coughing carpel antibody muscles health usual chief pruritic heads shown weapons degeneration wasting nasty fascicles lower portion biopsies medicine lift worries colds monoclonal negative flammable drooping lesion due problem papules spate gels eyelid sanctions yellow edema following hand macules infection frequent blue lack abdominal weak heart pustules causes injecting ribs
50,progressive memory loss hypertension hyperlipidemia type 2 diabetes mellitus Alzheimer disease diffuse cortical and hippocampal atrophy ADmemory loss hypertension hyperlipidemia type 2 diabetes Alzheimer disease MRI hippocampal atrophy Alzheimer hypertension diabetes hippocampal types degeneration latent dyslipidemia cortical physical thickening personal commonly losses liberal pulmonary edema losing cancer infection party actinolite diseases
